"ids","labels","parents","values"
"Shkodran Mustafi","Mustafi","ARS",0
"Héctor Bellerín","Bellerín","ARS",0
"Sead Kolasinac","Kolasinac","ARS",18
"Ainsley Maitland-Niles","Maitland-Niles","ARS",17
"Sokratis Papastathopoulos","Sokratis","ARS",31
"Nacho Monreal","Monreal","ARS",10
"Laurent Koscielny","Koscielny","ARS",0
"Konstantinos Mavropanos","Mavropanos","ARS",0
"Carl Jenkinson","Jenkinson","ARS",0
"Rob Holding","Holding","ARS",0
"Pierre-Emerick Aubameyang","Aubameyang","ARS",67
"Alexandre Lacazette","Lacazette","ARS",24
"Edward Nketiah","Nketiah","ARS",0
"Bernd Leno","Leno","ARS",34
"Mesut Özil","Özil","ARS",4
"Henrikh Mkhitaryan","Mkhitaryan","ARS",4
"Granit Xhaka","Xhaka","ARS",19
"Lucas Torreira","Torreira","ARS",16
"Mohamed Elneny","Elneny","ARS",0
"Matteo Guendouzi","Guendouzi","ARS",29
"David Luiz Moreira Marinho","David Luiz","ARS",32
"Emiliano Martínez","Martínez","ARS",0
"Calum Chambers","Chambers","ARS",25
"Daniel Ceballos Fernández","Ceballos","ARS",27
"Nicolas Pépé","Pépé","ARS",31
"Reiss Nelson","Nelson","ARS",5
"Joseph Willock","Willock","ARS",12
"Gabriel Teodoro Martinelli Silva","Martinelli","ARS",3
"Kieran Tierney","Tierney","ARS",3
"Bukayo Saka","Saka","ARS",12
"Ahmed El Mohamady","El Mohamady","AVL",7
"James Chester","Chester","AVL",0
"Neil Taylor","Taylor","AVL",16
"Kortney Hause","Hause","AVL",0
"Jonathan Kodjia","Kodjia","AVL",2
"Ørjan Nyland","Nyland","AVL",0
"Conor Hourihane","Hourihane","AVL",19
"Jack Grealish","Grealish","AVL",43
"Anwar El Ghazi","El Ghazi","AVL",38
"John McGinn","McGinn","AVL",48
"Andre Green","Green","AVL",0
"Birkir Bjarnason","Bjarnason","AVL",0
"Keinan Davis","Davis","AVL",6
"Henri Lansbury","Lansbury","AVL",2
"José Ignacio Peleteiro Romallo","Jota","AVL",12
"Tom Heaton","Heaton","AVL",31
"Matt Targett","Targett","AVL",26
"Wesley Moraes","Wesley","AVL",46
"Jed Steer","Steer","AVL",0
"Tyrone Mings","Mings","AVL",29
"Ezri Konsa Ngoyo","Konsa","AVL",1
"Bjorn Engels","Engels","AVL",31
"Frédéric Guilbert","Guilbert","AVL",30
"Mahmoud Ahmed Ibrahim Hassan","Trézéguet","AVL",19
"Douglas Luiz Soares de Paulo","Douglas Luiz","AVL",28
"Lovre Kalinic","Kalinic","AVL",0
"Marvelous Nakamba","Nakamba","AVL",15
"Steve Cook","Steve Cook","BOU",32
"Nathan Aké","Aké","BOU",44
"Charlie Daniels","Daniels","BOU",3
"Chris Mepham","Mepham","BOU",13
"Simon Francis","Francis","BOU",2
"Adam Smith","Adam Smith","BOU",28
