ids,labels,parents,values
ARS,ARSENAL,FPL,100
AVL,AVL,FPL,100
BHA,BHA,FPL,100
Sead Kolasinac,Kolasinac,ARS,18
Ainsley Maitland-Niles,Maitland-Niles,ARS,17
Sokratis Papastathopoulos,Sokratis,ARS,31
Nacho Monreal,Monreal,ARS,10
Pierre-Emerick Aubameyang,Aubameyang,ARS,67
Alexandre Lacazette,Lacazette,ARS,24
Bernd Leno,Leno,ARS,34
Mesut Özil,Özil,ARS,4
Henrikh Mkhitaryan,Mkhitaryan,ARS,4
Granit Xhaka,Xhaka,ARS,19
Lucas Torreira,Torreira,ARS,16
Calum Chambers,Chambers,ARS,25
Daniel Ceballos Fernández,Ceballos,ARS,27
Nicolas Pépé,Pépé,ARS,31
Reiss Nelson,Nelson,ARS,5
Tyrone Mings,Mings,AVL,29
Ezri Konsa Ngoyo,Konsa,AVL,1
Bjorn Engels,Engels,AVL,31
Frédéric Guilbert,Guilbert,AVL,30
Mahmoud Ahmed Ibrahim Hassan,Trézéguet,AVL,19
Douglas Luiz Soares de Paulo,Douglas Luiz,AVL,28
Dale Stephens,Stephens,BHA,24
Leandro Trossard,Trossard,BHA,26
Dan Burn,Burn,BHA,32
Adam Webster,Webster,BHA,23
Neal Maupay,Maupay,BHA,42
Aaron Mooy,Mooy,BHA,8
