ids,labels,parents,points,color
3,Arsenal,<b>FPL 2019/20 | Game Week = 2 | Toal Points = 1511</b>,128,#EF0107
7,Aston Villa,<b>FPL 2019/20 | Game Week = 2 | Toal Points = 1511</b>,65,#670E36
36,Brighton,<b>FPL 2019/20 | Game Week = 2 | Toal Points = 1511</b>,95,#0057B8
90,Burnley,<b>FPL 2019/20 | Game Week = 2 | Toal Points = 1511</b>,25,#99D6EA
8,Chelsea,<b>FPL 2019/20 | Game Week = 2 | Toal Points = 1511</b>,69,#034694
31,Crystal Palace,<b>FPL 2019/20 | Game Week = 2 | Toal Points = 1511</b>,115,#1B458F
11,Everton,<b>FPL 2019/20 | Game Week = 2 | Toal Points = 1511</b>,123,#003399
54,Fulham,<b>FPL 2019/20 | Game Week = 2 | Toal Points = 1511</b>,54,#DA291C
13,Leicester,<b>FPL 2019/20 | Game Week = 2 | Toal Points = 1511</b>,123,#003090
2,Leeds,<b>FPL 2019/20 | Game Week = 2 | Toal Points = 1511</b>,92,#fff200
14,Liverpool,<b>FPL 2019/20 | Game Week = 2 | Toal Points = 1511</b>,119,#C8102E
43,Man City,<b>FPL 2019/20 | Game Week = 2 | Toal Points = 1511</b>,46,#6CABDD
1,Man Utd,<b>FPL 2019/20 | Game Week = 2 | Toal Points = 1511</b>,22,#DA291C
4,Newcastle,<b>FPL 2019/20 | Game Week = 2 | Toal Points = 1511</b>,85,#BBBCBC
49,Sheffield Utd,<b>FPL 2019/20 | Game Week = 2 | Toal Points = 1511</b>,33,#010101
20,Southampton,<b>FPL 2019/20 | Game Week = 2 | Toal Points = 1511</b>,48,#D71920
6,Spurs,<b>FPL 2019/20 | Game Week = 2 | Toal Points = 1511</b>,84,#132257
35,West Brom,<b>FPL 2019/20 | Game Week = 2 | Toal Points = 1511</b>,41,#FBEE23
21,West Ham,<b>FPL 2019/20 | Game Week = 2 | Toal Points = 1511</b>,43,#7A263A
39,Wolves,<b>FPL 2019/20 | Game Week = 2 | Toal Points = 1511</b>,101,#FDB913
Özil,Özil,3,0,#EF0107
Sokratis,Sokratis,3,0,#EF0107
David Luiz,David Luiz,3,1,#EF0107
Aubameyang,Aubameyang,3,12,#EF0107
Cédric,Cédric,3,0,#EF0107
Lacazette,Lacazette,3,14,#EF0107
Mustafi,Mustafi,3,0,#EF0107
Leno,Leno,3,9,#EF0107
Xhaka,Xhaka,3,5,#EF0107
Marí,Marí,3,0,#EF0107
Bellerín,Bellerín,3,7,#EF0107
Chambers,Chambers,3,0,#EF0107
Kolasinac,Kolasinac,3,2,#EF0107
Maitland-Niles,Maitland-Niles,3,6,#EF0107
Holding,Holding,3,8,#EF0107
Tierney,Tierney,3,6,#EF0107
Pépé,Pépé,3,2,#EF0107
Torreira,Torreira,3,0,#EF0107
Willock,Willock,3,0,#EF0107
Nelson,Nelson,3,0,#EF0107
Nketiah,Nketiah,3,9,#EF0107
Smith Rowe,Smith Rowe,3,0,#EF0107
Saka,Saka,3,2,#EF0107
Guendouzi,Guendouzi,3,0,#EF0107
Martinelli,Martinelli,3,0,#EF0107
Saliba,Saliba,3,0,#EF0107
Willian,Willian,3,16,#EF0107
Gabriel,Gabriel,3,17,#EF0107
Ceballos,Ceballos,3,9,#EF0107
Elneny,Elneny,3,3,#EF0107
Macey,Macey,3,0,#EF0107
Martínez,Martínez,7,13,#670E36
Heaton,Heaton,7,0,#670E36
El Mohamady,El Mohamady,7,0,#670E36
Lansbury,Lansbury,7,0,#670E36
Taylor,Taylor,7,0,#670E36
Steer,Steer,7,0,#670E36
Hourihane,Hourihane,7,3,#670E36
Jota,Jota,7,0,#670E36
Nyland,Nyland,7,0,#670E36
Engels,Engels,7,0,#670E36
Grealish,Grealish,7,3,#670E36
